AUS Central Standard Time,Australia/Darwin
AUS Eastern Standard Time,Australia/Sydney
AUS Eastern Standard Time,Australia/Sydney Australia/Melbourne
Afghanistan Standard Time,Asia/Kabul
Alaskan Standard Time,America/Anchorage
Alaskan Standard Time,America/Anchorage America/Juneau America/Metlakatla America/Nome America/Sitka America/Yakutat
Aleutian Standard Time,America/Adak
Altai Standard Time,Asia/Barnaul
Arab Standard Time,Asia/Riyadh
Arab Standard Time,Asia/Bahrain
Arab Standard Time,Asia/Kuwait
Arab Standard Time,Asia/Qatar
Arab Standard Time,Asia/Aden
Arabian Standard Time,Asia/Dubai
Arabian Standard Time,Asia/Muscat
Arabian Standard Time,Etc/GMT-4
Arabic Standard Time,Asia/Baghdad
Argentina Standard Time,America/Buenos_Aires
Argentina Standard Time,America/Buenos_Aires America/Argentina/La_Rioja America/Argentina/Rio_Gallegos America/Argentina/Salta America/Argentina/San_Juan America/Argentina/San_Luis America/Argentina/Tucuman America/Argentina/Ushuaia America/Catamarca America/Cordoba America/Jujuy America/Mendoza
Astrakhan Standard Time,Europe/Astrakhan
Astrakhan Standard Time,Europe/Astrakhan Europe/Ulyanovsk
Atlantic Standard Time,America/Halifax
Atlantic Standard Time,Atlantic/Bermuda
Atlantic Standard Time,America/Halifax America/Glace_Bay America/Goose_Bay America/Moncton
Atlantic Standard Time,America/Thule
Aus Central W. Standard Time,Australia/Eucla
Azerbaijan Standard Time,Asia/Baku
Azores Standard Time,Atlantic/Azores
Azores Standard Time,America/Scoresbysund
Bahia Standard Time,America/Bahia
Bangladesh Standard Time,Asia/Dhaka
Bangladesh Standard Time,Asia/Thimphu
Belarus Standard Time,Europe/Minsk
Bougainville Standard Time,Pacific/Bougainville
Canada Central Standard Time,America/Regina
Canada Central Standard Time,America/Regina America/Swift_Current
Cape Verde Standard Time,Atlantic/Cape_Verde
Cape Verde Standard Time,Etc/GMT+1
Caucasus Standard Time,Asia/Yerevan
Cen. Australia Standard Time,Australia/Adelaide
Cen. Australia Standard Time,Australia/Adelaide Australia/Broken_Hill
Central America Standard Time,America/Guatemala
Central America Standard Time,America/Belize
Central America Standard Time,America/Costa_Rica
Central America Standard Time,Pacific/Galapagos
Central America Standard Time,America/Tegucigalpa
Central America Standard Time,America/Managua
Central America Standard Time,America/El_Salvador
Central America Standard Time,Etc/GMT+6
Central Asia Standard Time,Asia/Almaty
Central Asia Standard Time,Antarctica/Vostok
Central Asia Standard Time,Asia/Urumqi
Central Asia Standard Time,Indian/Chagos
Central Asia Standard Time,Asia/Bishkek
Central Asia Standard Time,Asia/Almaty Asia/Qostanay
Central Asia Standard Time,Etc/GMT-6
Central Brazilian Standard Time,America/Cuiaba
Central Brazilian Standard Time,America/Cuiaba America/Campo_Grande
Central Europe Standard Time,Europe/Budapest
Central Europe Standard Time,Europe/Tirane
Central Europe Standard Time,Europe/Prague
Central Europe Standard Time,Europe/Podgorica
Central Europe Standard Time,Europe/Belgrade
Central Europe Standard Time,Europe/Ljubljana
Central Europe Standard Time,Europe/Bratislava
Central European Standard Time,Europe/Warsaw
Central European Standard Time,Europe/Sarajevo
Central European Standard Time,Europe/Zagreb
Central European Standard Time,Europe/Skopje
Central Pacific Standard Time,Pacific/Guadalcanal
Central Pacific Standard Time,Antarctica/Macquarie
Central Pacific Standard Time,Pacific/Ponape Pacific/Kosrae
Central Pacific Standard Time,Pacific/Noumea
Central Pacific Standard Time,Pacific/Efate
Central Pacific Standard Time,Etc/GMT-11
Central Standard Time (Mexico),America/Mexico_City
Central Standard Time (Mexico),America/Mexico_City America/Bahia_Banderas America/Merida America/Monterrey
Central Standard Time,America/Chicago
Central Standard Time,America/Winnipeg America/Rainy_River America/Rankin_Inlet America/Resolute
Central Standard Time,America/Matamoros
Central Standard Time,America/Chicago America/Indiana/Knox America/Indiana/Tell_City America/Menominee America/North_Dakota/Beulah America/North_Dakota/Center America/North_Dakota/New_Salem
Central Standard Time,CST6CDT
Chatham Islands Standard Time,Pacific/Chatham
China Standard Time,Asia/Shanghai
China Standard Time,Asia/Hong_Kong
China Standard Time,Asia/Macau
Cuba Standard Time,America/Havana
Dateline Standard Time,Etc/GMT+12
E. Africa Standard Time,Africa/Nairobi
E. Africa Standard Time,Antarctica/Syowa
E. Africa Standard Time,Africa/Djibouti
E. Africa Standard Time,Africa/Asmera
E. Africa Standard Time,Africa/Addis_Ababa
E. Africa Standard Time,Indian/Comoro
E. Africa Standard Time,Indian/Antananarivo
E. Africa Standard Time,Africa/Mogadishu
E. Africa Standard Time,Africa/Juba
E. Africa Standard Time,Africa/Dar_es_Salaam
E. Africa Standard Time,Africa/Kampala
E. Africa Standard Time,Indian/Mayotte
E. Africa Standard Time,Etc/GMT-3
E. Australia Standard Time,Australia/Brisbane
E. Australia Standard Time,Australia/Brisbane Australia/Lindeman
E. Europe Standard Time,Europe/Chisinau
E. South America Standard Time,America/Sao_Paulo
Easter Island Standard Time,Pacific/Easter
Eastern Standard Time (Mexico),America/Cancun
Eastern Standard Time,America/New_York
Eastern Standard Time,America/Nassau
Eastern Standard Time,America/Toronto America/Iqaluit America/Montreal America/Nipigon America/Pangnirtung America/Thunder_Bay
Eastern Standard Time,America/New_York America/Detroit America/Indiana/Petersburg America/Indiana/Vincennes America/Indiana/Winamac America/Kentucky/Monticello America/Louisville
Eastern Standard Time,EST5EDT
Egypt Standard Time,Africa/Cairo
Ekaterinburg Standard Time,Asia/Yekaterinburg
FLE Standard Time,Europe/Kiev
FLE Standard Time,Europe/Mariehamn
FLE Standard Time,Europe/Sofia
FLE Standard Time,Europe/Tallinn
FLE Standard Time,Europe/Helsinki
FLE Standard Time,Europe/Vilnius
FLE Standard Time,Europe/Riga
FLE Standard Time,Europe/Kiev Europe/Uzhgorod Europe/Zaporozhye
Fiji Standard Time,Pacific/Fiji
GMT Standard Time,Europe/London
GMT Standard Time,Atlantic/Canary
GMT Standard Time,Atlantic/Faeroe
GMT Standard Time,Europe/Guernsey
GMT Standard Time,Europe/Dublin
GMT Standard Time,Europe/Isle_of_Man
GMT Standard Time,Europe/Jersey
GMT Standard Time,Europe/Lisbon Atlantic/Madeira
GTB Standard Time,Europe/Bucharest
GTB Standard Time,Asia/Nicosia Asia/Famagusta
GTB Standard Time,Europe/Athens
Georgian Standard Time,Asia/Tbilisi
Greenland Standard Time,America/Godthab
Greenwich Standard Time,Atlantic/Reykjavik
Greenwich Standard Time,Atlantic/St_Helena
Greenwich Standard Time,Africa/Ouagadougou
Greenwich Standard Time,Africa/Abidjan
Greenwich Standard Time,Africa/Accra
Greenwich Standard Time,Africa/Banjul
Greenwich Standard Time,Africa/Conakry
Greenwich Standard Time,Africa/Bissau
Greenwich Standard Time,Africa/Monrovia
Greenwich Standard Time,Africa/Bamako
Greenwich Standard Time,Africa/Nouakchott
Greenwich Standard Time,Africa/Freetown
Greenwich Standard Time,Africa/Dakar
Greenwich Standard Time,Africa/Lome
Haiti Standard Time,America/Port-au-Prince
Hawaiian Standard Time,Pacific/Honolulu
Hawaiian Standard Time,Pacific/Rarotonga
Hawaiian Standard Time,Pacific/Tahiti
Hawaiian Standard Time,Pacific/Johnston
Hawaiian Standard Time,Etc/GMT+10
India Standard Time,Asia/Calcutta
Iran Standard Time,Asia/Tehran
Israel Standard Time,Asia/Jerusalem
Jordan Standard Time,Asia/Amman
Kaliningrad Standard Time,Europe/Kaliningrad
Korea Standard Time,Asia/Seoul
Libya Standard Time,Africa/Tripoli
Line Islands Standard Time,Pacific/Kiritimati
Line Islands Standard Time,Etc/GMT-14
Lord Howe Standard Time,Australia/Lord_Howe
Magadan Standard Time,Asia/Magadan
Magallanes Standard Time,America/Punta_Arenas
Marquesas Standard Time,Pacific/Marquesas
Mauritius Standard Time,Indian/Mauritius
Mauritius Standard Time,Indian/Reunion
Mauritius Standard Time,Indian/Mahe
Middle East Standard Time,Asia/Beirut
Montevideo Standard Time,America/Montevideo
Morocco Standard Time,Africa/Casablanca
Morocco Standard Time,Africa/El_Aaiun
Mountain Standard Time (Mexico),America/Chihuahua
Mountain Standard Time (Mexico),America/Chihuahua America/Mazatlan
Mountain Standard Time,America/Denver
Mountain Standard Time,America/Edmonton America/Cambridge_Bay America/Inuvik America/Yellowknife
Mountain Standard Time,America/Ojinaga
Mountain Standard Time,America/Denver America/Boise
Mountain Standard Time,MST7MDT
Myanmar Standard Time,Asia/Rangoon
Myanmar Standard Time,Indian/Cocos
N. Central Asia Standard Time,Asia/Novosibirsk
Namibia Standard Time,Africa/Windhoek
Nepal Standard Time,Asia/Katmandu
New Zealand Standard Time,Pacific/Auckland
New Zealand Standard Time,Antarctica/McMurdo
Newfoundland Standard Time,America/St_Johns
Norfolk Standard Time,Pacific/Norfolk
North Asia East Standard Time,Asia/Irkutsk
North Asia Standard Time,Asia/Krasnoyarsk
North Asia Standard Time,Asia/Krasnoyarsk Asia/Novokuznetsk
North Korea Standard Time,Asia/Pyongyang
Omsk Standard Time,Asia/Omsk
Pacific SA Standard Time,America/Santiago
Pacific Standard Time (Mexico),America/Tijuana
Pacific Standard Time (Mexico),America/Tijuana America/Santa_Isabel
Pacific Standard Time,America/Los_Angeles
Pacific Standard Time,America/Vancouver
Pacific Standard Time,PST8PDT
Pakistan Standard Time,Asia/Karachi
Paraguay Standard Time,America/Asuncion
Qyzylorda Standard Time,Asia/Qyzylorda
Romance Standard Time,Europe/Paris
Romance Standard Time,Europe/Brussels
Romance Standard Time,Europe/Copenhagen
Romance Standard Time,Africa/Ceuta
Romance Standard Time,Europe/Madrid Africa/Ceuta
Russia Time Zone 10,Asia/Srednekolymsk
Russia Time Zone 11,Asia/Kamchatka
Russia Time Zone 11,Asia/Kamchatka Asia/Anadyr
Russia Time Zone 3,Europe/Samara
Russian Standard Time,Europe/Moscow
Russian Standard Time,Europe/Moscow Europe/Kirov
Russian Standard Time,Europe/Simferopol
SA Eastern Standard Time,America/Cayenne
SA Eastern Standard Time,Antarctica/Rothera Antarctica/Palmer
SA Eastern Standard Time,America/Fortaleza America/Belem America/Maceio America/Recife America/Santarem
SA Eastern Standard Time,Atlantic/Stanley
SA Eastern Standard Time,America/Paramaribo
SA Eastern Standard Time,Etc/GMT+3
SA Pacific Standard Time,America/Bogota
SA Pacific Standard Time,America/Rio_Branco America/Eirunepe
SA Pacific Standard Time,America/Coral_Harbour
SA Pacific Standard Time,America/Guayaquil
SA Pacific Standard Time,America/Jamaica
SA Pacific Standard Time,America/Cayman
SA Pacific Standard Time,America/Panama
SA Pacific Standard Time,America/Lima
SA Pacific Standard Time,Etc/GMT+5
SA Western Standard Time,America/La_Paz
SA Western Standard Time,America/Antigua
SA Western Standard Time,America/Anguilla
SA Western Standard Time,America/Aruba
SA Western Standard Time,America/Barbados
SA Western Standard Time,America/St_Barthelemy
SA Western Standard Time,America/Kralendijk
SA Western Standard Time,America/Manaus America/Boa_Vista America/Porto_Velho
SA Western Standard Time,America/Blanc-Sablon
SA Western Standard Time,America/Curacao
SA Western Standard Time,America/Dominica
SA Western Standard Time,America/Santo_Domingo
SA Western Standard Time,America/Grenada
SA Western Standard Time,America/Guadeloupe
SA Western Standard Time,America/Guyana
SA Western Standard Time,America/St_Kitts
SA Western Standard Time,America/St_Lucia
SA Western Standard Time,America/Marigot
SA Western Standard Time,America/Martinique
SA Western Standard Time,America/Montserrat
SA Western Standard Time,America/Puerto_Rico
SA Western Standard Time,America/Lower_Princes
SA Western Standard Time,America/Port_of_Spain
SA Western Standard Time,America/St_Vincent
SA Western Standard Time,America/Tortola
SA Western Standard Time,America/St_Thomas
SA Western Standard Time,Etc/GMT+4
SE Asia Standard Time,Asia/Bangkok
SE Asia Standard Time,Antarctica/Davis
SE Asia Standard Time,Indian/Christmas
SE Asia Standard Time,Asia/Jakarta Asia/Pontianak
SE Asia Standard Time,Asia/Phnom_Penh
SE Asia Standard Time,Asia/Vientiane
SE Asia Standard Time,Asia/Saigon
SE Asia Standard Time,Etc/GMT-7
Saint Pierre Standard Time,America/Miquelon
Sakhalin Standard Time,Asia/Sakhalin
Samoa Standard Time,Pacific/Apia
Sao Tome Standard Time,Africa/Sao_Tome
Saratov Standard Time,Europe/Saratov
Singapore Standard Time,Asia/Singapore
Singapore Standard Time,Antarctica/Casey
Singapore Standard Time,Asia/Brunei
Singapore Standard Time,Asia/Makassar
Singapore Standard Time,Asia/Kuala_Lumpur Asia/Kuching
Singapore Standard Time,Asia/Manila
Singapore Standard Time,Etc/GMT-8
South Africa Standard Time,Africa/Johannesburg
South Africa Standard Time,Africa/Bujumbura
South Africa Standard Time,Africa/Gaborone
South Africa Standard Time,Africa/Lubumbashi
South Africa Standard Time,Africa/Maseru
South Africa Standard Time,Africa/Blantyre
South Africa Standard Time,Africa/Maputo
South Africa Standard Time,Africa/Kigali
South Africa Standard Time,Africa/Mbabane
South Africa Standard Time,Africa/Lusaka
South Africa Standard Time,Africa/Harare
South Africa Standard Time,Etc/GMT-2
Sri Lanka Standard Time,Asia/Colombo
Sudan Standard Time,Africa/Khartoum
Syria Standard Time,Asia/Damascus
Taipei Standard Time,Asia/Taipei
Tasmania Standard Time,Australia/Hobart
Tasmania Standard Time,Australia/Hobart Australia/Currie
Tocantins Standard Time,America/Araguaina
Tokyo Standard Time,Asia/Tokyo
Tokyo Standard Time,Asia/Jayapura
Tokyo Standard Time,Pacific/Palau
Tokyo Standard Time,Asia/Dili
Tokyo Standard Time,Etc/GMT-9
Tomsk Standard Time,Asia/Tomsk
Tonga Standard Time,Pacific/Tongatapu
Transbaikal Standard Time,Asia/Chita
Turkey Standard Time,Europe/Istanbul
Turks And Caicos Standard Time,America/Grand_Turk
US Eastern Standard Time,America/Indianapolis
US Eastern Standard Time,America/Indianapolis America/Indiana/Marengo America/Indiana/Vevay
US Mountain Standard Time,America/Phoenix
US Mountain Standard Time,America/Hermosillo
US Mountain Standard Time,Etc/GMT+7
UTC+12,Etc/GMT-12
UTC+12,Pacific/Tarawa
UTC+12,Pacific/Majuro Pacific/Kwajalein
UTC+12,Pacific/Nauru
UTC+12,Pacific/Funafuti
UTC+12,Pacific/Wake
UTC+12,Pacific/Wallis
UTC+13,Etc/GMT-13
UTC+13,Pacific/Enderbury
UTC+13,Pacific/Fakaofo
UTC,Etc/GMT
UTC,America/Danmarkshavn
UTC,Etc/GMT Etc/UTC
UTC-02,Etc/GMT+2
UTC-02,America/Noronha
UTC-02,Atlantic/South_Georgia
UTC-08,Etc/GMT+8
UTC-08,Pacific/Pitcairn
